a	b
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	https://cso.kmi.open.ac.uk/topics/ls-svm
https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients_%28hog%29	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients
https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients_%28hog%29	https://cso.kmi.open.ac.uk/topics/histograms_of_oriented_gradients
https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients_%28hog%29
https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients	https://cso.kmi.open.ac.uk/topics/histograms_of_oriented_gradients
https://cso.kmi.open.ac.uk/topics/gaussian_kernels	https://cso.kmi.open.ac.uk/topics/gaussian_kernel
https://cso.kmi.open.ac.uk/topics/gaussian_kernel	https://cso.kmi.open.ac.uk/topics/gaussian_kernels
https://cso.kmi.open.ac.uk/topics/histograms_of_oriented_gradients	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients_%28hog%29
https://cso.kmi.open.ac.uk/topics/histograms_of_oriented_gradients	https://cso.kmi.open.ac.uk/topics/histogram_of_oriented_gradients
https://cso.kmi.open.ac.uk/topics/ls-svm	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines
https://cso.kmi.open.ac.uk/topics/ls-svm	https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine
https://cso.kmi.open.ac.uk/topics/ls-svm	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machines
https://cso.kmi.open.ac.uk/topics/ls-svm	https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine
https://cso.kmi.open.ac.uk/topics/extreme_learning_machine	https://cso.kmi.open.ac.uk/topics/extreme_learning_machine_%28elm%29
https://cso.kmi.open.ac.uk/topics/extreme_learning_machine_%28elm%29	https://cso.kmi.open.ac.uk/topics/extreme_learning_machine
https://cso.kmi.open.ac.uk/topics/feedforward_neural_networks	https://cso.kmi.open.ac.uk/topics/feedforward_neural_network
https://cso.kmi.open.ac.uk/topics/feedforward_neural_network	https://cso.kmi.open.ac.uk/topics/feedforward_neural_networks
https://cso.kmi.open.ac.uk/topics/natural_language_processing_systems	https://cso.kmi.open.ac.uk/topics/natural_language_processing
https://cso.kmi.open.ac.uk/topics/natural_language_processing_systems	https://cso.kmi.open.ac.uk/topics/nlp
https://cso.kmi.open.ac.uk/topics/decision_support_systems	https://cso.kmi.open.ac.uk/topics/decision_support_system_%28dss%29
https://cso.kmi.open.ac.uk/topics/decision_support_systems	https://cso.kmi.open.ac.uk/topics/decision_support_system
https://cso.kmi.open.ac.uk/topics/decision_support_system_%28dss%29	https://cso.kmi.open.ac.uk/topics/decision_support_systems
https://cso.kmi.open.ac.uk/topics/decision_support_system_%28dss%29	https://cso.kmi.open.ac.uk/topics/decision_support_system
https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_network
https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_approaches
https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_approach
